,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
156,ZayJones,WR,3.294,55.998,157,-116.671
157,DantePettis,WR,3.288,55.896,158,-116.773
158,TerryGodwin,WR,3.277,55.709,159,-116.96
159,DamionRatley,WR,3.276,55.692,160,-116.977
160,GeoffSwaim,WR,3.276,55.692,161,-116.977
161,MikeThomas,WR,3.242,55.114,162,-117.555
162,JamalAgnew,WR,3.201,54.417,163,-118.252
163,EquanimeousStBrown,WR,3.171,53.907,164,-118.762
164,KalifRaymond,WR,3.116,52.972,165,-119.697
165,NoahBrown,WR,3.074,52.258,166,-120.411
166,StevenMitchell,WR,3.07,52.19,167,-120.479
167,GunnerOlszewski,WR,3.03,51.51,168,-121.159
168,RayRayMcCloud,WR,2.98,50.66,169,-122.009
169,BrandonPowell,WR,2.956,50.252,170,-122.417
170,ChristianBlake,WR,2.953,50.201,171,-122.468
171,AustinCarr,WR,2.909,49.453,172,-123.216
172,LeeSmith,WR,2.865,48.705,173,-123.964
173,RileyRidley,WR,2.856,48.552,174,-124.117
174,IsaiahZuber,WR,2.85,48.45,175,-124.219
175,TrentTaylor,WR,2.821,47.957,176,-124.712
176,JustinWatson,WR,2.816,47.872,177,-124.797
177,AlexErickson,WR,2.809,47.753,178,-124.916
178,CJBoard,WR,2.806,47.702,179,-124.967
179,AustinMack,WR,2.793,47.481,180,-125.188
180,RobertFoster,WR,2.778,47.226,181,-125.443
181,JoshMalone,WR,2.774,47.158,182,-125.511
182,TrentonIrwin,WR,2.727,46.359,183,-126.31
183,TavonAustin,WR,2.643,44.931,184,-127.738
184,JaydonMickens,WR,2.621,44.557,185,-128.112
185,TyrieCleveland,WR,2.6,44.2,186,-128.469
186,JohnRoss,WR,2.588,43.996,187,-128.673
187,DiontaeSpencer,WR,2.588,43.996,188,-128.673
188,JakeKumerow,WR,2.57,43.69,189,-128.979
189,TedGinnJr,WR,2.564,43.588,190,-129.081
190,JavonWims,WR,2.542,43.214,191,-129.455
191,JuwanJohnson,WR,2.52,42.84,192,-129.829
192,CodyHollister,WR,2.509,42.653,193,-130.016
193,MalikTaylor,WR,2.496,42.432,194,-130.237
194,RiverCracraft,WR,2.493,42.381,195,-130.288
195,DarriusShepherd,WR,2.457,41.769,196,-130.9
196,SethRoberts,WR,2.423,41.191,197,-131.478
197,KJHill,WR,2.332,39.644,198,-133.025
198,DauriceFountain,WR,2.324,39.508,199,-133.161
199,JoeReed,WR,2.308,39.236,200,-133.433
200,BrandonZylstra,WR,2.29,38.93,201,-133.739
201,AntonioCallaway,WR,2.276,38.692,202,-133.977
202,PharohCooper,WR,2.254,38.318,203,-134.351
203,AshtonDulin,WR,2.184,37.128,204,-135.541
204,TrentSherfield,WR,2.177,37.009,205,-135.66
205,BennieFowler,WR,2.132,36.244,206,-136.425
206,NickWestbrookIkhine,WR,2.078,35.326,207,-137.343
207,GehrigDieter,WR,2.052,34.884,208,-137.785
208,TommyleeLewis,WR,2.039,34.663,209,-138.006
209,AntonioGandyGolden,WR,2.024,34.408,210,-138.261
210,DonteMoncrief,WR,2.007,34.119,211,-138.55
211,AndreRoberts,WR,1.919,32.623,212,-140.046
212,VyncintSmith,WR,1.915,32.555,213,-140.114
213,DanielBrown,WR,1.898,32.266,214,-140.403
214,PennyHart,WR,1.85,31.45,215,-141.219
215,MarcusKemp,WR,1.817,30.889,216,-141.78
216,JamesProche,WR,1.788,30.396,217,-142.273
217,JojoNatson,WR,1.784,30.328,218,-142.341
218,DedeWestbrook,WR,1.725,29.325,219,-143.344
219,DeAndreCarter,WR,1.722,29.274,220,-143.395
220,KendallHinton,WR,0.473,8.041,221,-164.628
