,Player,FantPos,Age,G,Y/A,Y/R,PPR,VBD,PosRank,OvRank,Year,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushTD/G,Tgt/G,Rec/G,RecYds/G,RecTD/G,TotTD/G,PPG,ID,Next Year PPG
1122,TylerLockett,WR,25,16,5.80,12.33,124.3,0,53,0,2017,0.0,0.0,0.0,0.0,0.0,0.625,3.625,0.0,4.438,2.812,34.688,0.125,0.188,7.769,TylerLockett2017,NaN
1123,TyreekHill,WR,22,16,11.13,9.72,217.0,30,11,34,2016,0.0,0.0,0.0,0.0,0.0,1.5,16.688,0.188,5.188,3.812,37.062,0.375,0.75,13.562,TyreekHill2016,16.347
1124,TyreekHill,WR,23,15,3.47,15.77,245.2,59,4,15,2017,0.0,0.067,0.0,0.0,0.067,1.133,3.933,0.0,7.0,5.0,78.867,0.467,0.533,16.347,TyreekHill2017,NaN
1125,TyrellWilliams,WR,24,16,0,15.35,216.9,22,14,45,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.438,4.312,66.188,0.438,0.438,13.556,TyrellWilliams2016,8.612
1126,TyrellWilliams,WR,25,16,0,16.93,137.8,0,40,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312,2.688,45.5,0.25,0.25,8.612,TyrellWilliams2017,NaN
1127,TyrodTaylor,QB,27,15,6.11,0,270.9,10,8,55,2016,17.933,29.067,201.533,1.133,0.4,6.333,38.667,0.4,0.0,0.0,0.0,0.0,0.4,18.06,TyrodTaylor2016,14.847
1128,TyrodTaylor,QB,28,15,5.08,0,222.7,0,16,0,2017,17.533,28.0,186.6,0.933,0.267,5.6,28.467,0.267,0.0,0.0,0.0,0.0,0.267,14.847,TyrodTaylor2017,NaN
1129,TyroneSwoopes,0,23,1,0,0,0,0,102,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TyroneSwoopes2017,NaN
1130,VanceMcDonald,TE,26,11,0,16.29,87.1,0,25,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091,2.182,35.545,0.364,0.364,7.918,VanceMcDonald2016,3.88
1131,VanceMcDonald,TE,27,10,0,13.43,38.8,0,50,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,18.8,0.1,0.1,3.88,VanceMcDonald2017,NaN
1132,VernonDavis,TE,32,16,0,13.25,114.3,0,23,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688,2.75,36.438,0.125,0.125,7.144,VernonDavis2016,7.612
1133,VernonDavis,TE,33,16,0,15.07,121.8,0,14,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312,2.688,40.5,0.188,0.188,7.612,VernonDavis2017,NaN
1134,VictorBolden,0,22,9,0,0,0,0,199,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VictorBolden2017,NaN
1135,VictorCruz,WR,30,15,0,15.03,101.6,0,80,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.6,39.067,0.067,0.067,6.773,VictorCruz2016,NaN
1136,VinceMayle,0,25,6,0,0,0,0,196,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VinceMayle2016,0.388
1137,VinceMayle,WR,26,16,1.00,0,6.2,0,170,0,2017,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.062,0.062,0.0,0.0,0.0,0.062,0.388,VinceMayle2017,NaN
1138,VincentJackson,WR,33,5,0,11.53,32.3,0,131,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.0,34.6,0.0,0.0,6.46,VincentJackson2016,NaN
1139,VirgilGreen,TE,28,12,0,10.77,51.7,0,43,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.083,1.833,19.75,0.083,0.083,4.308,VirgilGreen2016,2.444
1140,VirgilGreen,TE,29,16,0,13.64,39.1,0,48,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.875,11.938,0.062,0.062,2.444,VirgilGreen2017,NaN
1141,WaltPowell,WR,25,9,0,10.14,28.2,0,137,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,1.556,15.778,0.0,0.0,3.133,WaltPowell2016,NaN
1142,WayneGallman,RB,23,13,4.29,5.68,104.9,0,51,0,2017,0.0,0.0,0.0,0.0,0.0,8.538,36.615,0.0,3.692,2.615,14.846,0.077,0.077,8.069,WayneGallman2017,NaN
1143,WendallWilliams,WR,26,3,0,18.75,11.5,0,157,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333,1.333,25.0,0.0,0.0,3.833,WendallWilliams2016,NaN
1144,WendellSmallwood,RB,22,13,4.05,9.17,52.7,0,62,0,2016,0.0,0.0,0.0,0.0,0.0,5.923,24.0,0.077,1.0,0.462,4.231,0.0,0.154,4.054,WendellSmallwood2016,5.838
1145,WendellSmallwood,RB,23,8,3.70,7.92,46.7,0,83,0,2017,0.0,0.0,0.0,0.0,0.0,5.875,21.75,0.125,2.25,1.625,12.875,0.0,0.125,5.838,WendellSmallwood2017,NaN
1146,WillFuller,WR,22,14,-3.00,13.51,128.2,0,61,0,2016,0.0,0.0,0.0,0.0,0.0,0.071,-0.214,0.0,6.571,3.357,45.357,0.143,0.214,9.157,WillFuller2016,11.32
1147,WillFuller,WR,23,10,4.50,15.11,113.2,0,48,0,2017,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,5.0,2.8,42.3,0.7,0.7,11.32,WillFuller2017,NaN
1148,WillTye,TE,25,16,0,8.23,93.5,0,34,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,3.0,24.688,0.062,0.062,5.844,WillTye2016,2.6
1149,WillTye,TE,26,3,0,9.50,7.8,0,89,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.333,12.667,0.0,0.0,2.6,WillTye2017,NaN
1150,WillieSnead,WR,24,15,0,12.43,191.5,0,35,0,2016,0.067,0.067,3.333,0.067,0.0,0.0,0.0,0.0,6.933,4.8,59.667,0.267,0.267,12.767,WillieSnead2016,1.382
1151,WillieSnead,WR,25,11,0,11.50,15.2,0,162,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455,0.727,8.364,0.0,0.0,1.382,WillieSnead2017,NaN
1152,XavierGrimble,TE,24,13,0,10.73,34.8,0,49,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615,0.846,9.077,0.154,0.154,2.677,XavierGrimble2016,0.947
1153,XavierGrimble,TE,25,15,0,6.40,14.2,0,74,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.333,2.133,0.067,0.067,0.947,XavierGrimble2017,NaN
1154,ZachErtz,TE,26,14,0,10.46,183.6,18,8,49,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571,5.571,58.286,0.286,0.286,13.114,ZachErtz2016,14.457
1155,ZachErtz,TE,27,14,0,11.14,202.4,47,3,21,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857,5.286,58.857,0.571,0.571,14.457,ZachErtz2017,NaN
1156,ZachLine,RB,26,15,2.14,0,1.5,0,136,0,2016,0.0,0.0,0.0,0.0,0.0,0.467,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,ZachLine2016,0.967
1157,ZachLine,RB,27,12,4.00,4.00,11.6,0,114,0,2017,0.0,0.0,0.0,0.0,0.0,0.583,2.333,0.0,0.417,0.167,0.667,0.083,0.083,0.967,ZachLine2017,NaN
1158,ZachMiller,TE,32,10,0,10.34,119.6,0,21,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4.7,48.6,0.4,0.4,11.96,ZachMiller2016,6.95
1159,ZachMiller,TE,33,8,0,11.80,55.6,0,38,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,2.5,29.5,0.25,0.25,6.95,ZachMiller2017,NaN
1160,ZachZenner,RB,25,14,3.80,10.89,93.0,0,47,0,2016,0.0,0.0,0.0,0.0,0.0,6.286,23.857,0.286,1.643,1.286,14.0,0.0,0.286,6.643,ZachZenner2016,1.075
1161,ZachZenner,RB,26,8,1.86,0,8.6,0,115,0,2017,0.0,0.0,0.0,0.0,0.0,1.75,3.25,0.125,0.125,0.0,0.0,0.0,0.125,1.075,ZachZenner2017,NaN
1162,ZayJones,WR,22,15,0,11.70,70.6,0,89,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.933,1.8,21.067,0.133,0.133,4.707,ZayJones2017,NaN
