,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
118,JaylenSamuels,RB,2.698,45.866,119,-84.167
119,DontrellHilliard,RB,2.698,45.866,120,-84.167
120,DevineOzigbo,RB,2.692,45.764,121,-84.269
121,AlecIngold,RB,2.641,44.897,122,-85.136
122,TheoRiddick,RB,2.607,44.319,123,-85.714
123,CraigReynolds,RB,2.594,44.098,124,-85.935
124,JordanHoward,RB,2.582,43.894,125,-86.139
125,AustinWalter,RB,2.556,43.452,126,-86.581
126,JonathanWilliams,RB,2.555,43.435,127,-86.598
127,ScottiePhillips,RB,2.506,42.602,128,-87.431
128,GabeNabers,RB,2.5,42.5,129,-87.533
129,RicoDowdle,RB,2.487,42.279,130,-87.754
130,BuddyHowell,RB,2.471,42.007,131,-88.026
131,MikeBoone,RB,2.466,41.922,132,-88.111
132,DexterWilliams,RB,2.449,41.633,133,-88.4
133,AmeerAbdullah,RB,2.353,40.001,134,-90.032
134,CoreyClement,RB,2.351,39.967,135,-90.066
135,TevinColeman,RB,2.315,39.355,136,-90.678
136,CJHam,RB,2.221,37.757,137,-92.276
137,LeVanteBellamy,RB,2.221,37.757,138,-92.276
138,LeSeanMcCoy,RB,2.139,36.363,139,-93.67
139,LamarMiller,RB,2.084,35.428,140,-94.605
140,QadreeOllison,RB,1.947,33.099,141,-96.934
141,TrentonCannon,RB,1.9,32.3,142,-97.733
142,CJProsise,RB,1.9,32.3,143,-97.733
143,RyanNall,RB,1.871,31.807,144,-98.226
144,KhariBlasingame,RB,1.806,30.702,145,-99.331
145,JonathanWard,RB,1.771,30.107,146,-99.926
146,ChandlerCox,RB,1.691,28.747,147,-101.286
147,TonyBrooksJames,RB,1.586,26.962,148,-103.071
148,KeithSmith,RB,1.576,26.792,149,-103.241
149,AlexArmah,RB,1.556,26.452,150,-103.581
150,JakobJohnson,RB,1.511,25.687,151,-104.346
151,PatrickRicard,RB,1.482,25.194,152,-104.839
152,ElijhaaPenny,RB,1.432,24.344,153,-105.689
153,DwayneWashington,RB,1.407,23.919,154,-106.114
154,CullenGillaspia,RB,1.389,23.613,155,-106.42
155,MichaelBurton,RB,1.354,23.018,156,-107.015
156,AndyJanovich,RB,1.258,21.386,157,-108.647
157,SenorisePerry,RB,1.105,18.785,158,-111.248
158,DJFoster,RB,1.074,18.258,159,-111.775
159,NickBellore,RB,0.723,12.291,160,-117.742
160,AnthonySherman,RB,0.243,4.131,161,-125.902
161,AdrianKillins,RB,-0.048,-0.816,162,-130.849
162,BruceMiller,RB,-0.371,-6.307,163,-136.34
